Date,ESM6P 2175 Index,ESM6P 2180 Index,ESM6P 2185 Index,ESM6P 2190 Index,ESM6P 2195 Index,ESM6P 2200 Index,ESM6P 2205 Index,ESM6P 2210 Index,ESM6P 2215 Index,ESM6P 2220 Index,ESM6P 2225 Index,ESM6P 2230 Index,ESM6P 2235 Index,ESM6P 2240 Index,ESM6P 2245 Index,ESM6P 2250 Index,ESM6P 2255 Index,ESM6P 2260 Index,Open,High,Low,Close
2/19/2016,270.5,275.25,280.25,285,290,294.75,299.75,304.5,309.5,314.5,319.5,324.5,329.5,334.25,339.25,344.25,349.25,354.25,265.75,265.75,265.75,265.75
2/18/2016,269,273.5,278.5,283.25,288,293,297.75,302.75,307.5,312.5,317.5,322.5,327.5,332.25,337.25,342.25,347.25,352.25,264.25,264.25,264.25,264.25
2/17/2016,263.75,268.5,273,278,282.5,287.5,292.25,297,302,306.75,311.75,316.5,321.5,326.5,331.5,336.25,341.25,346.25,259,259,259,259
2/16/2016,297,301.5,306.5,311.25,316,321,325.75,330.75,335.5,340.5,345.5,350.5,355.25,360.25,365.25,370.25,375.25,380.25,292,292,292,292
2/12/2016,327,331.75,336.5,341.5,346.5,351.25,356.25,361,366,371,376,381,386,391,395.75,400.75,405.75,410.75,322.25,322.25,322.25,322.25
2/11/2016,360.5,365.25,370,375,380,385,389.75,394.75,399.75,404.75,409.5,414.5,419.5,424.5,429.5,434.5,439.5,444.5,355.5,355.5,355.5,355.5
2/10/2016,338,343,347.75,352.75,357.5,362.5,367.5,372.5,377.25,382.25,387.25,392.25,397.25,402.25,407.25,412.25,417.25,422.25,333.25,333.25,333.25,333.25
2/9/2016,336.5,341.5,346.5,351.25,356,361,366,371,375.75,380.75,385.75,390.75,395.75,400.75,405.5,410.5,415.5,420.5,331.75,331.75,331.75,331.75
2/8/2016,333,338,342.75,347.5,352.5,357.5,362.25,367.25,372,377,382,387,392,397,402,406.75,411.75,416.75,328.25,328.25,328.25,328.25
2/5/2016,310.25,315,319.75,324.5,329.5,334.25,339.25,344,349,354,358.75,363.75,368.75,373.75,378.5,383.5,388.5,393.5,305.5,305.5,305.5,305.5
2/4/2016,278.5,283,287.75,292.5,297.25,302,307,311.75,316.75,321.5,326.5,331.5,336.25,341.25,346.25,351,356,361,273.75,273.75,273.75,273.75
2/3/2016,277.5,282.25,287,291.75,296.5,301.25,306.25,311,316,320.75,325.75,330.5,335.5,340.5,345.5,350.5,355.25,360.25,272.75,272.75,272.75,272.75
2/2/2016,288,292.5,297.5,302.25,307,312,316.75,321.75,326.5,331.5,336.5,341.25,346.25,351.25,356.25,361.25,366.25,371,283,283,283,283
2/1/2016,255,259.75,264.5,269,274,278.5,283.5,288.25,293,298,302.75,307.75,312.5,317.5,322.5,327.25,332.25,337.25,250.5,250.5,250.5,250.5
1/29/2016,256.5,261.25,266,270.5,275.25,280,284.75,289.5,294.5,299.25,304,309,313.75,318.75,323.5,328.5,333.5,338.5,252,252,252,252
1/28/2016,304.25,309,314,318.75,323.5,328.5,333.25,338.25,343,348,353,357.75,362.75,367.75,372.5,377.5,382.5,387.5,299.5,299.5,299.5,299.5
1/27/2016,310,315,319.5,324.5,329.25,334,339,343.75,348.5,353.5,358.5,363.5,368.25,373.25,378.25,383,388,393,305.5,305.5,305.5,305.5
1/26/2016,290,294.5,299.5,304,309,313.75,318.5,323.25,328,333,337.75,342.75,347.75,352.5,357.5,362.5,367.5,372.25,285.25,285.25,285.25,285.25
1/25/2016,315,319.75,324.5,329.25,334,339,343.75,348.75,353.5,358.5,363.25,368.25,373.25,378,383,388,393,398,310,310,310,310
1/22/2016,287,291.75,296.5,301,306,310.5,315.5,320.25,325,330,334.75,339.5,344.5,349.5,354.25,359.25,364,369,282.5,282.5,282.5,282.5
1/21/2016,324.25,329,334,338.75,343.5,348.25,353.25,358,363,367.75,372.75,377.5,382.5,387.5,392.5,397.25,402.25,407.25,319.5,319.5,319.5,319.5
1/20/2016,330.25,335,339.75,344.75,349.5,354.25,359.25,364,369,373.75,378.75,383.5,388.5,393.5,398.5,403.5,408.25,413.25,325.5,325.5,325.5,325.5
1/19/2016,312.25,317,321.75,326.5,331.25,336,341,345.75,350.5,355.5,360.5,365.25,370.25,375,380,385,390,395,307.5,307.5,307.5,307.5
1/15/2016,310.5,315.25,320,324.75,329.5,334.25,339,344,348.75,353.5,358.5,363.5,368.25,373.25,378,383,388,393,305.75,305.75,305.75,305.75
1/14/2016,272.5,277.25,281.75,286.5,291,295.75,300.5,305,310,314.75,319.5,324.25,329,334,338.75,343.75,348.5,353.5,268,268,268,268
1/13/2016,304.25,309,313.5,318.5,323,328,332.75,337.5,342.5,347.25,352,357,361.75,366.75,371.5,376.5,381.5,386.5,299.5,299.5,299.5,299.5
1/12/2016,262.75,267,271.75,276.25,281,285.5,290.25,295,299.75,304.5,309.25,314,319,323.75,328.5,333.5,338.25,343.25,258.25,258.25,258.25,258.25
1/11/2016,273,277.5,282.25,286.75,291.5,296.25,301,305.5,310.5,315.25,320,324.75,329.5,334.5,339.25,344.25,349,354,268.5,268.5,268.5,268.5
1/8/2016,277.75,282.25,286.75,291.25,295.75,300.5,305,309.75,314.5,319,323.75,328.5,333.25,338,343,347.75,352.5,357.5,273.25,273.25,273.25,273.25
